Antibody Name,Fab PDB,Variant,Spike RBD,Spike RBD PDB,HADDOCK Job Name,Fab Active Residues,RBD Active Residues,Submitted,Cluster,Job Tar File,HADDOCK score,HADDOCK score CB,Cluster size,RMSD from the overall lowest-energy structure,RMSD from the overall lowest-energy structure (+/-),Van der Waals energy,Van der Waals energy (+/-),Electrostatic energy,Electrostatic energy (+/-),Desolvation energy,Desolvation energy (+/-),Restraints violation energy,Restraints violation energy (+/-),Buried Surface Area,Surface Area (+/-),Z-Score,prodigy_deltaG_kcalpermol,prodigy_dissociation_constant_M,prodigy_deltaG_kcalpermol_37C,prodigy_dissociation_constant_M_37C
COVOX150',7zf8_chainsHL_renumberedLplus1000_fixed.pdb,BA.2,BA.2,BA_2_renumbered_and_relaxed.pdb,COVOX150_BA2,"26,27,28,29,30,31,32,52,53,54,55,56,73,74,75,76,99,100,101,102,103,1026,1027,1028,1029,1030,1031,1032,1033,1050,1051,1052,1066,1067,1068,1069,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1100,1101,1102,1103'","403,415,420,421,453,455,457,460,473,475,477,487,489'",Yes,2,307364-COVOX150_BA2.tgz,-122.5,2.5,19,6.2,0.6,-85.3,4.8,-160.4,21.9,-20.2,2.9,150.6,14.19,2394.2,40.9,-2,-16.5,7.40E-13,-16.5,2.20E-12
COVOX150',7zf8_chainsHL_renumberedLplus1000_fixed.pdb,BA.1,BA.1,BA_1_7ykj_default.pdb,COVOX150_BA1,"26,27,28,29,30,31,32,52,53,54,55,56,73,74,75,76,99,100,101,102,103,1026,1027,1028,1029,1030,1031,1032,1033,1050,1051,1052,1066,1067,1068,1069,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1100,1101,1102,1103'","403,415,420,421,453,455,457,460,473,475,477,487,489'",Yes,3,307363-COVOX150_BA1.tgz,-128.9,2.9,29,1,0.3,-86.1,2.2,-217.9,30.3,-28.4,1.3,292.2,74.53,2431.1,82.4,-2,-15.4,5.50E-12,-15.4,1.50E-11
COVOX150',7zf8_chainsHL_renumberedLplus1000_fixed.pdb,XBB.1.5,XBB.1.5,XBB15_af284_relaxed_rank_1_model_1_renumbered.pdb,COVOX150_XBB15,"26,27,28,29,30,31,32,52,53,54,55,56,73,74,75,76,99,100,101,102,103,1026,1027,1028,1029,1030,1031,1032,1033,1050,1051,1052,1066,1067,1068,1069,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1100,1101,1102,1103'","403,415,420,421,453,455,457,460,473,475,477,487,489'",Yes,2,307366-COVOX150_XBB15.tgz,-116.2,3.1,24,4.3,0.4,-69.1,3.4,-244.7,19,-24,2.9,257.8,66.46,2194,101.5,-1.2,-13.1,2.40E-10,-13.1,5.70E-10
COVOX150',7zf8_chainsHL_renumberedLplus1000_fixed.pdb,BA.2.86,BA.2.86,BA_286_relaxed_renumbered.pdb,COVOX150_BA286,"26,27,28,29,30,31,32,52,53,54,55,56,73,74,75,76,99,100,101,102,103,1026,1027,1028,1029,1030,1031,1032,1033,1050,1051,1052,1066,1067,1068,1069,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1100,1101,1102,1103'","402,414,419,420,452,454,456,459,472,474,476,484,486'",Yes,2,307370-COVOX_BA286.tgz,-130.4,8.3,35,0.4,0.3,-81.8,3.7,-244.1,12.8,-24.4,2.4,246.1,61.98,2232,107,-1.4,-15.3,5.50E-12,-15.3,1.50E-11
COVOX150',7zf8_chainsHL_renumberedLplus1000_fixed.pdb,WT,WT,7x2h_chainF_RBD (1) .pdb,COVOX150_WT,"26,27,28,29,30,31,32,52,53,54,55,56,73,74,75,76,99,100,101,102,103,1026,1027,1028,1029,1030,1031,1032,1033,1050,1051,1052,1066,1067,1068,1069,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1100,1101,1102,1103'","403,415,420,421,453,455,457,460,473,475,477,487,489'",Yes,2,307362-COVOX150_WT.tgz,-107.5,-9.8,30,0.5,0.3,-73.3,5,-209.6,26,-11.1,1.5,188.5,35.6,2127.1,42.9,-1.5,-13.4,1.40E-10,-13.4,3.30E-10
LYCOV555',7kmg_chainsAB_renumberedBplus1000_fixed.pdb ,BA.2,BA.2,BA_2_renumbered_and_relaxed.pdb,LYCOV555_BA2,"26,27,28,29,30,31,53,54,55,56,74,75,76,77,100,101,102,103,104,105,106,107,108,109,110,111,1026,1027,1028,1029,1030,1031,1032,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1068,1069,1091,1092,1093,1094,1095,1096,1097'","382,408,482,486,493,494'",Yes,11,307137-LYCOV555_BA2.tgz,-72.6,9.6,5,3.2,0.3,-72.6,5.4,-190.4,35.7,-15.7,2.4,538,91.54,2268.5,72.8,-2.6,-14.4,2.60E-11,-14.4,6.60E-11
LYCOV555',7kmg_chainsAB_renumberedBplus1000_fixed.pdb ,BA.1,BA.1,BA_1_7ykj_default.pdb,LYCOV555_BA2,"26,27,28,29,30,31,53,54,55,56,74,75,76,77,100,101,102,103,104,105,106,107,108,109,110,111,1026,1027,1028,1029,1030,1031,1032,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1068,1069,1091,1092,1093,1094,1095,1096,1097'","382, 408,482,486,493,494'",Yes,3,307136-LYCOV555_BA1.tgz,-89.7,6.6,21,0.4,0.3,-89,5.7,-93.3,11.1,-37.6,1.8,555.2,61.68,2469.4,35.4,-2.1,-12.5,7.20E-10,-12.5,1.60E-09
LYCOV555',7kmg_chainsAB_renumberedBplus1000_fixed.pdb ,XBB.1.5,XBB.1.5,XBB15_af284_relaxed_rank_1_model_1_renumbered.pdb,LYCOV555_XBB15,"26,27,28,29,30,31,53,54,55,56,74,75,76,77,100,101,102,103,104,105,106,107,108,109,110,111,1026,1027,1028,1029,1030,1031,1032,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1068,1069,1091,1092,1093,1094,1095,1096,1097'","382,408,482,486,493,494'",Yes,2,307138-LYCOV555_XBB15.tgz,-60.1,7,12,11.9,0.4,-77.8,4,-104.5,9.9,-20.9,0.4,594.9,65.78,2140.7,141.5,-1.5,-14.3,3.30E-11,-14.3,8.40E-11
LYCOV555',7kmg_chainsAB_renumberedBplus1000_fixed.pdb ,BA.2.86,BA.2.86,BA_286_relaxed_renumbered.pdb,LYCOV555_BA286,"26,27,28,29,30,31,53,54,55,56,74,75,76,77,100,101,102,103,104,105,106,107,108,109,110,111,1026,1027,1028,1029,1030,1031,1032,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1068,1069,1091,1092,1093,1094,1095,1096,1097'","381,407,483, 490, 491'",Yes,1,307355-LYCOV555_BA286.tgz,-73.6,2.1,48,15.9,0.4,-59.3,2,-233.9,34.9,-22.9,2.7,553.3,50.66,2049.1,81.5,-1.6,-11.5,3.70E-09,-11.5,7.80E-09
LYCOV555',7kmg_chainsAB_renumberedBplus1000_fixed.pdb ,WT,WT,7x2h_chainF_RBD (1) .pdb,LYCOV555_WT,"26,27,28,29,30,31,53,54,55,56,74,75,76,77,100,101,102,103,104,105,106,107,108,109,110,111,1026,1027,1028,1029,1030,1031,1032,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1068,1069,1091,1092,1093,1094,1095,1096,1097'","382, 408,482,484,486,493,494'",Yes,1,307134-LYCOV555_WT.tgz,-76.3,2.8,30,8.2,0.2,-60.8,4.8,-205.7,16.5,-26.6,1.5,521.5,37.94,1778.7,23.1,-1.5,-12.3,9.40E-10,-12.3,2.10E-09
LYCOV1404',7mmo_chainsHL_renumberedLplus1000\ _fixed.pdb,WT,WT,7x2h_chainF_RBD (1) .pdb,LYCOV1404_WT_UPDATED,"26,27,28,29,30,31,32,33,34,55,56,75,76,77,103,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1063,1064,1071,1072,1095,1096,1097,1098'","346,439,440,444,445,450,498,500'",Yes,4,310617-LYCOV1404_WT_UPDATED.tgz ,-75.4,7.7,18,0.5,0.3,-44,0.9,-394.4,24.9,6.6,1.6,408.8,35.9,1841.1,51.1,-1.2,-12.1,1.40E-09,-12.1,3.00E-09
LYCOV1404',7mmo_chainsHL_renumberedLplus1000\ _fixed.pdb,BA.1,BA.1,BA_1_7ykj_default.pdb,LYCOV1404_BA1_UPDATED,"26,27,28,29,30,31,32,33,34,55,56,75,76,77,103,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1063,1064,1071,1072,1095,1096,1097,1098'","346, 439,440,444,445,450,498,500'",Yes,4,310612-LYCOV1404_BA1_UPDATED.tgz,-98.2,7.7,22,0.6,0.4,-49.4,5.5,-422.8,16.5,6,1.8,297,65.2,1768.6,28.6,-1.5,-13.6,1.10E-10,-13.6,2.70E-10
LYCOV1404',7mmo_chainsHL_renumberedLplus1000\ _fixed.pdb,BA.2,BA.2,BA_2_renumbered_and_relaxed.pdb,LYCOV1404_BA2_UPDATED,"26,27,28,29,30,31,32,33,34,55,56,75,76,77,103,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1063,1064,1071,1072,1095,1096,1097,1098'","346, 439,440,444,445,450,498,500'",Yes,2,310613-LYCOV1404_BA2_UPDATED.tgz,-86.4,5.2,51,1.7,1.4,-56.8,9.2,-339.4,31.2,2.1,2.6,361.5,50.9,1896.5,122.5,-1.6,-14.1,4.70E-11,-14.1,1.20E-10
LYCOV1404',7mmo_chainsHL_renumberedLplus1000\ _fixed.pdb,XBB.1.5,XBB.1.5,XBB15_af284_relaxed_rank_1_model_1_renumbered.pdb,LYCOV1404_XBB15_UPDATED,"26,27,28,29,30,31,32,33,34,55,56,75,76,77,103,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1063,1064,1071,1072,1095,1096,1097,1098'","439,440,444,450,498,500'",Yes,5,310615-LYCOV1404_XBB15_UPDATED.tgz,-64.9,4.9,11,1.2,0.8,-43.5,8.9,-282.2,17.7,-1.6,2.8,367.2,63.1,1460.2,121.7,-1.9,-11.8,2.10E-09,-11.8,4.60E-09
LYCOV1404',7mmo_chainsHL_renumberedLplus1000\ _fixed.pdb,BA.2.86,BA.2.86,BA_286_relaxed_renumbered.pdb,LYCOV1404_BA286_UPDATED,"26,27,28,29,30,31,32,33,34,55,56,75,76,77,103,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1063,1064,1071,1072,1095,1096,1097,1098'","438,439,443,495,497'",Yes,1,"	310619-LYCOV1404_BA286_UPDATED.tgz",-63.1,5,44,5.3,0.4,-35.6,5.1,-286,26.4,-2.6,1.5,322.1,37.5,1322.2,112.3,-1.1,-12.3,9.80E-10,-12.3,2.20E-09
